#================================================================================================
#x               y               Psi             Res_Psi         Xi              Res_Xi
#================================================================================================
0.0625          0.90625         0.856614        0.000110793     0.00384693      1.65532e-05     
0.0625          0.921875        0.880457        8.62723e-05     0.00307194      1.29375e-05     
0.0625          0.9375          0.90433         6.15136e-05     0.00237209      9.44798e-06     
0.0625          0.953125        0.928227        3.6644e-05      0.0017302       6.0573e-06      
0.0625          0.96875         0.952141        1.17904e-05     0.00113054      2.73789e-06     
0.0625          0.984375        0.976068        -1.29211e-05    0.000558463     -5.37953e-07    
0.0625          1               1               0.531661        0               0               

0.078125        0               0               0               0               0               
0.078125        0.015625        0.00113883      7.69227e-06     0.0768056       0.000428018     
0.078125        0.03125         0.00231317      1.05761e-05     0.154746        0.000625657     
0.078125        0.046875        0.00355939      1.36667e-05     0.2349          0.000823143     
0.078125        0.0625          0.00491563      1.70282e-05     0.318232        0.0010205       
0.078125        0.078125        0.00642265      2.07278e-05     0.405516        0.00121718      
0.078125        0.09375         0.00812466      2.48365e-05     0.497245        0.00141189      
0.078125        0.109375        0.0100701       2.94297e-05     0.593516        0.00160246      
0.078125        0.125           0.0123123       3.45871e-05     0.693896        0.00178568      
0.078125        0.140625        0.0149099       4.03923e-05     0.797282        0.00195719      
0.078125        0.15625         0.017927        4.69312e-05     0.901767        0.0021115       
0.078125        0.171875        0.0214323       5.42896e-05     1.00455         0.00224215      
0.078125        0.1875          0.0254988       6.25489e-05     1.10196         0.00234216      
0.078125        0.203125        0.0302008       7.178e-05       1.18963         0.00240477      
0.078125        0.21875         0.0356118       8.20363e-05     1.26285         0.00242456      
0.078125        0.234375        0.0418003       9.33454e-05     1.31722         0.00239868      
0.078125        0.25            0.048826        0.000105702     1.34927         0.0023279       
0.078125        0.265625        0.0567361       0.000119063     1.35715         0.002217        
0.078125        0.28125         0.0655627       0.000133349     1.34093         0.0020742       
0.078125        0.296875        0.0753212       0.000148445     1.30254         0.00190967      
0.078125        0.3125          0.0860116       0.000164208     1.24536         0.00173384      
0.078125        0.328125        0.0976192       0.000180479     1.17359         0.00155601      
0.078125        0.34375         0.110118        0.000197086     1.09168         0.00138355      
0.078125        0.359375        0.123474        0.000213851     1.00385         0.00122163      
0.078125        0.375           0.137645        0.000230599     0.913763        0.00107343      
0.078125        0.390625        0.152587        0.000247158     0.824413        0.000940465     
0.078125        0.40625         0.168253        0.00026336      0.738078        0.00082301      
0.078125        0.421875        0.184596        0.000279047     0.656371        0.000720491     
0.078125        0.4375          0.201571        0.000294069     0.580331        0.000631807     
0.078125        0.453125        0.219131        0.000308285     0.510533        0.000555572     
0.078125        0.46875         0.237236        0.000321562     0.44719         0.000490291     
0.078125        0.484375        0.255843        0.00033378      0.390246        0.000434484     
0.078125        0.5             0.274916        0.000344825     0.33946         0.000386758     
0.078125        0.515625        0.294418        0.000354598     0.294468        0.000345848     
0.078125        0.53125         0.314317        0.000363007     0.254834        0.000310638     
0.078125        0.546875        0.334581        0.000369973     0.220086        0.000280166     
0.078125        0.5625          0.355183        0.000375425     0.189747        0.000253614     
0.078125        0.578125        0.376096        0.000379307     0.163347        0.0002303       
0.078125        0.59375         0.397296        0.000381571     0.140442        0.000209662     
0.078125        0.609375        0.41876         0.000382182     0.120619        0.000191241     
0.078125        0.625           0.440468        0.000381115     0.1035          0.000174667     
0.078125        0.640625        0.4624          0.000378357     0.0887413       0.000159643     
0.078125        0.65625         0.48454         0.000373906     0.0760363       0.000145932     
0.078125        0.671875        0.50687         0.000367771     0.0651122       0.000133348     
0.078125        0.6875          0.529375        0.000359971     0.0557284       0.000121741     
0.078125        0.703125        0.552042        0.000350537     0.0476737       0.000110992     
0.078125        0.71875         0.574857        0.00033951      0.0407634       0.000101007     
0.078125        0.734375        0.597809        0.000326939     0.0348365       9.17081e-05     
0.078125        0.75            0.620885        0.000312885     0.0297535       8.30318e-05     
0.078125        0.765625        0.644076        0.000297417     0.0253933       7.49236e-05     
0.078125        0.78125         0.667371        0.000280611     0.0216513       6.73363e-05     
0.078125        0.796875        0.690761        0.000262553     0.0184371       6.02275e-05     
0.078125        0.8125          0.714237        0.000243336     0.0156727       5.35578e-05     
0.078125        0.828125        0.737791        0.000223058     0.0132908       4.72902e-05     
0.078125        0.84375         0.761415        0.000201826     0.0112331       4.13889e-05     
0.078125        0.859375        0.785102        0.00017975      0.00944936      3.58187e-05     
0.078125        0.875           0.808845        0.000156945     0.00789584      3.05449e-05     
0.078125        0.890625        0.832636        0.00013353      0.00653454      2.55329e-05     
0.078125        0.90625         0.856468        0.000109627     0.00533214      2.07479e-05     
0.078125        0.921875        0.880337        8.53614e-05     0.00425928      1.61553e-05     
0.078125        0.9375          0.904235        6.08578e-05     0.00328978      1.17202e-05     
0.078125        0.953125        0.928156        3.62434e-05     0.00240005      7.40767e-06     
0.078125        0.96875         0.952094        1.16447e-05     0.00156846      3.18265e-06     
0.078125        0.984375        0.976044        -1.28126e-05    0.000774853     -9.8995e-07     
0.078125        1               1               0.533169        0               0               

0.09375         0               0               0               0               0               
0.09375         0.015625        0.000999092     6.67402e-06     0.0907485       0.00050791      
0.09375         0.03125         0.00203057      9.10288e-06     0.18307         0.000738464     
0.09375         0.046875        0.00312776      1.17205e-05     0.278487        0.000970983     
0.09375         0.0625          0.00432587      1.45854e-05     0.378414        0.00120624      
0.09375         0.078125        0.00566295      1.77603e-05     0.484082        0.00144435      
0.09375         0.09375         0.00718091      2.13131e-05     0.596423        0.00168457      
0.09375         0.109375        0.00892649      2.53181e-05     0.715934        0.00192503      
0.09375         0.125           0.0109522       2.98563e-05     0.842481        0.00216243      
0.09375         0.140625        0.013317        3.50165e-05     0.975075        0.00239176      
0.09375         0.15625         0.0160871       4.08938e-05     1.11162         0.00260604      
0.09375         0.171875        0.0193354       4.75879e-05     1.24869         0.00279631      
0.09375         0.1875          0.023141        5.5199e-05      1.38145         0.00295195      
0.09375         0.203125        0.0275868       6.38204e-05     1.50372         0.00306163      
0.09375         0.21875         0.0327564       7.35296e-05     1.60851         0.00311498      
0.09375         0.234375        0.0387292       8.43761e-05     1.68886         0.00310493      
0.09375         0.25            0.045575        9.6371e-05      1.73906         0.00303         
0.09375         0.265625        0.0533488       0.000109479     1.75579         0.00289562      
0.09375         0.28125         0.0620868       0.000123617     1.73882         0.00271345      
0.09375         0.296875        0.0718052       0.000138659     1.6909          0.00249874      
0.09375         0.3125          0.0825009       0.000154448     1.61696         0.00226718      
0.09375         0.328125        0.0941542       0.000170808     1.52315         0.00203244      
0.09375         0.34375         0.106733        0.00018755      1.41581         0.00180499      
0.09375         0.359375        0.120195        0.000204484     1.30081         0.00159193      
0.09375         0.375           0.134492        0.000221424     1.18316         0.00139739      
0.09375         0.390625        0.149574        0.000238189     1.0668          0.00122317      
0.09375         0.40625         0.16539         0.000254607     0.954681        0.00106945      
0.09375         0.421875        0.181887        0.000270515     0.848836        0.000935322     
0.09375         0.4375          0.199017        0.000285759     0.750532        0.000819238     
0.09375         0.453125        0.216731        0.000300198     0.660434        0.000719343     
0.09375         0.46875         0.234985        0.000313699     0.578752        0.000633683     
0.09375         0.484375        0.253738        0.000326139     0.505368        0.000560344     
0.09375         0.5             0.27295         0.000337406     0.439934        0.000497538     
0.09375         0.515625        0.292585        0.0003474       0.381959        0.000443651     
0.09375         0.53125         0.31261         0.000356029     0.330867        0.000397259     
0.09375         0.546875        0.332994        0.000363215     0.286047        0.000357128     
0.09375         0.5625          0.353708        0.000368889     0.24688         0.00032221      
0.09375         0.578125        0.374726        0.000372992     0.212767        0.000291624     
0.09375         0.59375         0.396025        0.000375478     0.183139        0.000264637     
